year, bill,     tax,        rate
2003, village,  village,    
2003, school,   scarsdale,  
2003, school,   mamaroneck, 
2003, county,   county,     
2003, county,   bronx,      
2003, county,   hutchinson, 
2003, county,   mamaroneck, 
2003, county,   refuse,     
2004, village,  village,    
2004, school,   scarsdale,  
2004, school,   mamaroneck, 
2004, county,   county,     
2004, county,   bronx,      
2004, county,   hutchinson, 
2004, county,   mamaroneck, 
2004, county,   refuse,     
2005, village,  village,    
2005, school,   scarsdale,  
2005, school,   mamaroneck, 
2005, county,   county,     
2005, county,   bronx,      
2005, county,   hutchinson, 
2005, county,   mamaroneck, 
2005, county,   refuse,     
2006, village,  village,    173.86
2006, school,   scarsdale,  713.16
2006, school,   mamaroneck, 662.47
2006, county,   county,     169.78
2006, county,   bronx,       19.83
2006, county,   hutchinson,  24.83
2006, county,   mamaroneck,  25.58
2006, county,   refuse,      19.60
2007, village,  village,    180.62
2007, school,   scarsdale,  732.89
2007, school,   mamaroneck, 638.72
2007, county,   county,     187.97
2007, county,   bronx,       26.88
2007, county,   hutchinson,  26.91
2007, county,   mamaroneck,  32.94
2007, county,   refuse,      20.82
2008, village,  village,    190.36
2008, school,   scarsdale,  769.56
2008, school,   mamaroneck, 729.80
2008, county,   county,     184.22
2008, county,   bronx,       26.10
2008, county,   hutchinson,  26.36
2008, county,   mamaroneck,  30.90
2008, county,   refuse,      17.48
2009, village,  village,     NA
2009, school,   scarsdale,  782.69
2009, school,   mamaroneck, 792.35
2009, county,   county,     181.58
2009, county,   bronx,       26.47
2009, county,   hutchinson,  27.60
2009, county,   mamaroneck,  30.49
2009, county,   refuse,      16.79
2010, village,  village,    
2010, school,   scarsdale,  
2010, school,   mamaroneck, 
2010, county,   county,     
2010, county,   bronx,      
2010, county,   hutchinson, 
2010, county,   mamaroneck, 
2010, county,   refuse,     
2011, village,  village,    
2011, school,   scarsdale,  
2011, school,   mamaroneck, 
2011, county,   county,     
2011, county,   bronx,      
2011, county,   hutchinson, 
2011, county,   mamaroneck, 
2011, county,   refuse,     
2012, village,  village,    
2012, school,   scarsdale,  
2012, school,   mamaroneck, 
2012, county,   county,     
2012, county,   bronx,      
2012, county,   hutchinson, 
2012, county,   mamaroneck, 
2012, county,   refuse,     
