year,budget,fund,appropriation,Non Prop Tax Revenue,Approp Fund Balance,Amount To Be Raised By Taxes
2006-2007,tentative,General Fund,37592637,12998078,259685,24334874
2006-2007,tentative,Capital Projects,21574400,18911400,2663000,0
2006-2007,tentative,Public Library,2870825,2760825,110000,0
2006-2007,tentative,INT SVCE CEN GAR,2247016,2144672,102344,0
2006-2007,tentative,Pool,1080298,886625,193673,0
2006-2007,tentative,Water,3695266,4305000,-609734,0
2007-2008,adopted,General Fund,40584097,14810208,259685,25514204
2007-2008,adopted,Capital Projects,25788000,23790000,1998000,0
2007-2008,adopted,Public Library,3074240,2970290,103950,0
2007-2008,adopted,INT SVCE CEN GAR,2382024,2382024,0,0
2007-2008,adopted,Pool,981855,981625,230,0
2007-2008,adopted,Water,6356838,4668500,1688338,0
2008-2009,adopted,General Fund,41869905,14483871,259685,27126349
2008-2009,adopted,Capital Projects,26610960,25972960,638000,0
2008-2009,adopted,Public Library,3228994,3133994,95000,0
2008-2009,adopted,INT SVCE CEN GAR,2678460,2627890,50570,0
2008-2009,adopted,Pool,941839,1027792,-85953,0
2008-2009,adopted,Water,10297174,4779650,5517524,0
2009-2010,tentative,General Fund,42183920,12473861,425613,29284446
2009-2010,tentative,Capital Projects,9433000,9138000,295000,0
2009-2010,tentative,Public Library,3292045,3113219,178826,0
2009-2010,tentative,INT SVCE CEN GAR,2764140,2764140,0,0
2009-2010,tentative,Pool,977396,998025,-20629,0
2009-2010,tentative,Water,10589156,4810650,5778506,0
2009-2010,adopted,General Fund,42183920,12473861,425613,29284446
2009-2010,adopted,Capital Projects,9433000,9138000,295000,0
2009-2010,adopted,Public Library,3292045,3113219,178826,0
2009-2010,adopted,INT SVCE CEN GAR,2764140,2764140,0,0
2009-2010,adopted,Pool,977396,998025,-20629,0
2009-2010,adopted,Water,10589156,4810650,5778506,0
2010-2011,tentative,General Fund,NA,NA,NA,NA
2010-2011,tentative,Capital Projects,NA,NA,NA,NA
2010-2011,tentative,Public Library,NA,NA,NA,NA
2010-2011,tentative,INT SVCE CEN GAR,NA,NA,NA,NA
2010-2011,tentative,Pool,NA,NA,NA,NA
2010-2011,tentative,Water,NA,NA,NA,NA
2010-2011,adopted,General Fund,44240574,12720073,800000,30720501
2010-2011,adopted,Capital Projects,6590703,6340703,250000,0
2010-2011,adopted,Public Library,3421701,3302870,118831,0
2010-2011,adopted,INT SVCE CEN GAR,2776053,2776053,0,0
2010-2011,adopted,Pool,989159,996385,-7226,0
2010-2011,adopted,Water,10534642,5010650,5523992,0
2011-2012,tentative,General Fund,46955697,13977587,1073000,31905110
2011-2012,tentative,Capital Projects,7411570,7011570,400000,0
2011-2012,tentative,Public Library,3559095,3463995,95100,0
2011-2012,tentative,INT SVCE CEN GAR,3007956,2784456,223500,0
2011-2012,tentative,Pool,1086751,1098535,-11784,0
2011-2012,tentative,Water,13042122,5623650,7418472,0
2011-2012,adopted,General Fund,46955697,13977587,1073000,31905110
2011-2012,adopted,Capital Projects,7411570,7011570,400000,0
2011-2012,adopted,Public Library,3559095,3463995,95100,0
2011-2012,adopted,INT SVCE CEN GAR,3007956,2784456,223500,0
2011-2012,adopted,Pool,1086751,1098535,-11784,0
2011-2012,adopted,Water,13042122,5623650,7418472,0
2012-2013,tentative,General Fund,48899129,14279034,1073000,33547095
2012-2013,tentative,Capital Projects,10283350,9290350,993000,0
2012-2013,tentative,Public Library,3631759,3546759,85000,0
2012-2013,tentative,INT SVCE CEN GAR,3140848,3140848,0,0
2012-2013,tentative,Pool,1042517,1053800,-11283,0
2012-2013,tentative,Water,6053244,5705650,347594,0
2012-2013,adopted,General Fund,48445129,14279034,1073000,33093095
2012-2013,adopted,Capital Projects,10037350,9044350,993000,0
2012-2013,adopted,Public Library,3631759,3546759,85000,0
2012-2013,adopted,INT SVCE CEN GAR,3140848,3140848,0,0
2012-2013,adopted,Pool,1042517,1053800,-11283,0
2012-2013,adopted,Water,6053244,5705650,347594,0
